-T7, -tetR_lite, -rbs2, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs2, GFP, T7, 
-T7, -tetR_lite, -rbs2, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs1, GFP, T1, 
-T7, -tetR_lite, -rbs2, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs1, GFP, T7, 
-T7, -tetR_lite, -rbs2, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs3, GFP, T1, 
-T7, -tetR_lite, -rbs2, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs3, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs1, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs1, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs2, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs2, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs3, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs2, lacI_lite, rbs3, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs2, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs2, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs1, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs1, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs3, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs1, lacI_lite, rbs3, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs2, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs2, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs1, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs1, GFP, T7, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs3, GFP, T1, 
-T7, -tetR_lite, -rbs3, -pLlacO1, pLtetO1, rbs3, lacI_lite, rbs3, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs1, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs1, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs2, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs2, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs3, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs1, lacI_lite, rbs3, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs2, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs2, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs1, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs1, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs3, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs2, lacI_lite, rbs3, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs2, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs2, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs1, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs1, GFP, T7, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs3, GFP, T1, 
-T1, -luxR_lite, -rbs1, -pLlacO1, pLux, rbs3, lacI_lite, rbs3, GFP, T7, 
